id;order_id;order_date;bill_value
1;disintermediate Cambridgeshire hacking;2019-05-27T19:13:09;34106
2;Concrete Global SMS;2019-05-28T05:14:42;22855
3;Bacon Designer;2019-05-27T23:02:11;52965
4;Vision-oriented;2019-05-28T09:12:04;96541
5;Virginia THX pink;2019-05-28T04:44:34;34920
6;bus Internal AI;2019-05-27T16:43:08;88777
7;bypassing Marketing;2019-05-27T16:35:16;89855
8;Home Loan Account Tools Unbranded;2019-05-27T19:30:42;97366
9;clear-thinking;2019-05-28T04:06:25;54873
10;Cayman Islands Dollar invoice;2019-05-28T06:03:12;17592
